perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
PAX2,0.1604823986795994,0.0906931604793996,0.1596107199988787,0.121117881871151,0.1760826413514531,0.1046510621797837,0.1585927256202534,0.1640535679281528,0.1593706818821786,0.1383891760482369,ElasticNet,ElasticNet
GLIS3,0.1576642819029709,0.0998464558064983,0.1572765818102667,0.1083395690119691,0.1834311321675268,0.1112828342252263,0.1556287295910052,0.1637282038357344,0.1552512434003198,0.179414331404845,ElasticNet_1024,ElasticNet_1024
HHEX,0.2060582013905555,0.1119216511138478,0.2054951545681866,0.1140205322689163,0.2296962198468856,0.1098516837088744,0.2043259865821172,0.1612502807055642,0.2014154429612152,0.2370423160716671,ElasticNet_1024,ElasticNet_1024
PRDM1,0.1944005448372344,0.1149206342505298,0.1942421017801986,0.1156673085650283,0.2162097245964615,0.1307441158162404,0.1928980049251588,0.1600779854780784,0.1912558611942606,0.2107162354538937,ElasticNet_1024,ElasticNet_1024
YWHAZ,0.1335394819440216,0.1408346182925516,0.1335720438637403,0.0986057524669699,0.1478698701095027,0.0935135723732021,0.1322140710514984,0.1567553716635468,0.1310039753128316,0.2080193303417282,ElasticNet_1024,ElasticNet_1024
PPARGC1A,0.2445031742433677,0.1006068893797624,0.2420810705624401,0.1101123034215557,0.251558197260872,0.1730282487468837,0.2397936495841602,0.154746381079904,0.2365088031546494,0.2244259823411373,ElasticNet_1024,ElasticNet_1024
EOMES,0.3611777347995777,0.1073674888816542,0.3535382380855628,0.1646276125729828,0.370854061079374,0.1673001605071877,0.3556759889049193,0.1531630785548199,0.3543006977888302,0.1806749853494031,XGBoost,ElasticNet_1024
ETS1,0.1892772238596323,0.1222977372649074,0.1889109032719357,0.1430665933409506,0.2132799101272897,0.0860548216457059,0.1882850253960999,0.151658533259346,0.1869988539302265,0.1941752098543392,ElasticNet_1024,ElasticNet_1024
KLF8,0.1070647568765275,0.1687164035113404,0.1069428503099814,0.167581056609643,0.1251613882423314,0.1425423563367894,0.1072344894712357,0.1505995022160078,0.1064021818340872,0.2025537660028142,ElasticNet_1024,ElasticNet_1024
GATA4,0.2109452435887586,0.1432420816956904,0.211160644665158,0.111939494999602,0.2295476940220606,0.116718091770988,0.2098770680872762,0.1494922674802616,0.2081791250886822,0.1983819800681246,ElasticNet_1024,ElasticNet_1024
ZNF618,0.1150863935860612,0.1381828900316134,0.1149237204401995,0.1395258089320735,0.1419314944788506,0.0281120452649832,0.1148236837708712,0.149380630381622,0.1148187549958724,0.1488856651377013,ElasticNet_1024,ElasticNet
TBX20,0.1458881503183744,0.1034126709589906,0.1453566072295606,0.1069615846832137,0.1682320154301437,0.0793399597679528,0.1446317161754648,0.149251871968778,0.1437850143523359,0.1840732641366022,ElasticNet_1024,ElasticNet_1024
TRIM28,0.1166420264938209,0.1417346285452868,0.1149356467483279,0.0918969201438495,0.1167715262926283,0.0950862443577706,0.1120678956405577,0.1486827060575246,0.1120499061912334,0.1557952437845746,ElasticNet_1024,ElasticNet_1024
NEUROD2,0.2630628547005226,0.0980023731178187,0.2615539311335423,0.1098018169850491,0.2639594631184454,0.0932062923070963,0.2604261799782634,0.1464227091856529,0.2607130322079052,0.145156221967189,ElasticNet,ElasticNet
TLX1,0.189758669831432,0.1125262797927532,0.1894640565107254,0.1162797585550008,0.2177954964723082,0.0631479976309701,0.1888974608553422,0.1420968849901834,0.1892974279264922,0.1300780190704024,ElasticNet,ElasticNet
RREB1,0.1154988207418103,0.1354479847061915,0.1156423730390298,0.1247710896814153,0.1330112164941822,0.0641556328291072,0.115358841734305,0.1403975312232155,0.1153471855046019,0.1514197936871192,ElasticNet_1024,ElasticNet_1024
SMAD5,0.1704871432685736,0.0797556727854525,0.1693229190507965,0.1136651066472751,0.1835331137567923,0.1064141630976011,0.1688265374302138,0.1398730345883492,0.1682689604942598,0.166467787194778,ElasticNet_1024,ElasticNet_1024
BSX,0.190474355839312,0.1085616776593424,0.1909033739807081,0.0857020852112834,0.2083484623981653,0.0810405193660456,0.1897691573038532,0.1385272348062076,0.1883374566129876,0.1835524900863351,ElasticNet_1024,ElasticNet_1024
ATF3,0.1059070499054236,0.1118981900803331,0.1046617843536411,0.1112597398643503,0.1161674751163056,0.0383332773203661,0.1044546770946696,0.1379777665463237,0.1044944358854706,0.1339703072612515,ElasticNet,ElasticNet
FLI1,0.2410953931545793,0.1016042095263936,0.2404160293220308,0.1184354219688177,0.2592036844542162,0.1099562431187353,0.239590064579343,0.1367669579298562,0.2397176729097997,0.1312469953735932,ElasticNet,ElasticNet
GATA2,0.2777912421830471,0.1441007846718232,0.2773230902389641,0.1127403877807668,0.2844305163559678,0.1312566837059907,0.275693371917148,0.1356721092321186,0.2759690777858502,0.1280501236190581,ElasticNet,KNN
SMAD6,0.1479340818970443,0.0923685502568091,0.1473809056820122,0.1217095572516242,0.1604863143655468,0.0946914617660772,0.1468931960802138,0.1350056950383339,0.1454383509573792,0.1955461399799564,ElasticNet_1024,ElasticNet_1024
TEAD3,0.1127962179430014,0.0669946559883098,0.1121868902086284,0.0840925593621242,0.1356683650666193,0.0217553180611989,0.1116708453430646,0.1335436587277204,0.1103018922282609,0.2035853869962574,ElasticNet_1024,ElasticNet_1024
NKX3-1,0.2026537884575784,0.1293488637885565,0.2024259249260666,0.11942704303882,0.225102674181363,0.0939796189149391,0.2019991592434294,0.132927581938908,0.1990407454829972,0.2177415322718602,ElasticNet_1024,ElasticNet_1024
SOX18,0.2160960791368743,0.0857794595183838,0.2154021798574505,0.0717661680489064,0.234607131729654,0.1179583972792976,0.2140635613841253,0.131028361361648,0.2147807694118296,0.1091287597467576,ElasticNet,ElasticNet
SUZ12,0.0849123771118016,0.1183735735193532,0.0847236133554898,0.1257849622227651,0.098344155342755,-0.0165979437514086,0.0846696149130332,0.1308186616622071,0.084780333562905,0.1234986008465632,ElasticNet,ElasticNet
OVOL1,0.2199454459888976,0.1036204860569717,0.2195268469876713,0.1216080573826459,0.2384387277911936,0.1429282934783322,0.2191476513262071,0.1298845723961049,0.2178830117790409,0.1660453899748568,ElasticNet_1024,ElasticNet_1024
GLI1,0.2015812367415513,0.0921548886502277,0.1983977664885094,0.1502055695711358,0.2279111896264592,0.0699473641985066,0.1985914230063064,0.129754462269951,0.1979887351747096,0.149168316194999,ElasticNet_1024,XGBoost
