perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
FOXL2,0.1565123378600179,0.1017242305007145,0.1557784917765805,0.1059191956034004,0.1783975369838963,0.0237056257435152,0.1552682946111096,0.1205999874957708,0.1549791001440658,0.1327345031880272,0.012134515692256403,0.0002891944670438129
FOXP4,0.150978842106191,0.0295115580961944,0.1494892698527991,0.0817010937442208,0.1715214062661685,-0.003848568486241,0.149545649766056,0.0760019484887599,0.1494922325486475,0.0770530714562758,0.0010511229675159023,5.341721740850791e-05
GATA2,0.2786210414709729,0.0808789736318389,0.2748528051321335,0.1152248189036899,0.2825983023316049,0.0353064947775024,0.2758363359866286,0.086143017681043,0.2743131515256566,0.1386976691281971,0.052554651447154085,0.0015231844609719936
GATA3,0.1442310502282075,0.1314701584060986,0.1432747857157452,0.163817921905583,0.1649098705358055,0.033774195551552,0.1440368212777805,0.1347080389654732,0.1433579652992554,0.1686917453561806,0.033983706390707386,0.0006788559785251003
GATA4,0.2125310302001131,0.0816926740410559,0.2121821405314439,0.0871644712106321,0.236970585485328,0.017697615521692,0.212157704769601,0.0773312494717154,0.2124984477677867,0.046872491812277,-0.030458757659438396,-0.00034074299818570575
GATA6,0.2321270763132776,0.0984917477970679,0.2318575012971598,0.0752126682107125,0.276074813154118,0.0249525995828656,0.2316244206182454,0.0975183022353808,0.2317321637722684,0.0951911008854293,-0.0023272013499514993,-0.00010774315402301005
GFI1,0.1398304797468166,0.0371001178915829,0.1385596012153646,0.0512755659599291,0.1750084298430881,-0.0233291055474473,0.1387155660672901,0.0641500911642891,0.1386652275675302,0.0549730154937142,-0.009177075670574901,5.0338499759911004e-05
GLI1,0.2010430455439726,0.0769114226121623,0.2007092268911137,0.0390920245459024,0.2026671762343304,0.025533840076439,0.2004453582756886,0.0668740579639327,0.2005264366399208,0.0542158695510825,-0.0126581884128502,-8.107836423221215e-05
GLIS3,0.1591084922797066,0.0519938769521547,0.158009043921301,0.0540699285150152,0.1738890825700891,0.0085055947370287,0.1578313800499179,0.0731212899075315,0.1580330663670006,0.0518440633050504,-0.021277226602481103,-0.0002016863170826999
GSC,0.1863556533466808,0.0589350381600271,0.1853450627364928,0.0826143125950673,0.2044115726245344,0.0135133857899486,0.185158223923255,0.1001924759650318,0.1848707695747286,0.1188500026732811,0.0186575267082493,0.0002874543485264225
GSX2,0.1723966966055729,0.054727321621919,0.1718241389842302,0.0736222382056302,0.1930063966151604,0.0354342836603235,0.1717468061507154,0.0727944231729422,0.1715945067805894,0.0852539580905997,0.0124595349176575,0.00015229937012598005
GTF2B,0.162102038162697,0.0547601694623608,0.1606799079461783,0.0751088533675509,0.1726068614488508,0.0511999319705014,0.160320801641624,0.0839530344045129,0.1607524230439618,0.0325754078180943,-0.051377626586418604,-0.00043162140233782287
HAND1,0.2028739554803063,0.0528747004880762,0.1947833614516318,0.0453411494472179,0.1528400082308018,0.0796939353863287,0.1943738357813554,0.0576637054410734,0.1946122019435379,0.0298676361709433,-0.027796069270130102,-0.00023836616218250728
