perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
BNC2,0.1272734261787813,0.0457579704025595,0.1266637551424852,0.0813036743579516,0.1476413857517272,0.0180365366774063,0.126904712440024,0.0565424255375968,0.1270576604995118,0.0263596711545221,-0.0301827543830747,-0.00015294805948781742
BPTF,0.1330416338477728,0.0323366187675494,0.131766811554306,0.0637227246395925,0.1453133632755468,0.0564478426090341,0.1318979640643274,0.0465129430290931,0.1318959374629966,0.0537263359271872,0.007213392898094105,2.0266013308067876e-06
BSX,0.190474355839312,0.1085616776593424,0.1909033739807081,0.0857020852112834,0.2083484623981653,0.0810405193660456,0.1897691573038532,0.1385272348062076,0.1883374566129876,0.1835524900863351,0.04502525528012749,0.001431700690865595
CARHSP1,0.1718813434161342,0.0167631573443529,0.1571426373017384,0.01491166939865,0.1122201491994975,0.0084479872851962,0.1414422793504747,0.0816523931576531,0.1417823163910795,-0.0044670330422185,-0.0861194261998716,-0.0003400370406047848
CASZ1,0.2588642229918617,0.0168191691162708,0.2568879636852766,0.0475398296297812,0.2683133281903163,0.0245869156502937,0.2567339657452016,0.0466286862301915,0.2568095923244726,0.0303897491852966,-0.0162389370448949,-7.562657927101535e-05
CDX2,0.1678097470968203,0.0749000976173974,0.1683580285319535,0.0179080402309917,0.1917950559735116,0.0941621456752705,0.166766462538009,0.097015106968563,0.1665476987319668,0.1106025876663256,0.013587480697762597,0.0002187638060422159
CEBPA,0.2219936487697696,0.0654740803373178,0.2216756111441341,0.0583948485584717,0.2455588422535964,-0.0140823458654107,0.2204882433316404,0.1031162432443987,0.2209556022696948,0.0781544907157578,-0.024961752528640913,-0.0004673589380543852
CEBPB,0.2052038435273976,0.0663777688307277,0.2044441330088728,0.0928527942316614,0.2193254922665666,0.0253898330177483,0.2045859792908682,0.0829428908118395,0.204919864989865,0.0728153195549654,-0.010127571256874107,-0.00033388569899681086
CREBBP,0.1066090136431308,0.0321312359189481,0.1059863779510339,0.0679548085975366,0.1407860108380287,-0.1034089876846826,0.1059298204362765,0.0833199376621013,0.1060280513955098,0.0716739270035078,-0.011646010658593497,-9.82309592333086e-05
DLX2,0.115339722394835,0.0248091045455825,0.1147956995418564,0.0130877923339442,0.1470139004351763,-0.026992304680097,0.1147312816823288,0.0383627378159412,0.1148105134173095,0.002694770142917,-0.0356679676730242,-7.923173498070035e-05
DLX3,0.1674700594623359,0.0110057817953467,0.1658892142800925,0.0260048991317889,0.2075722877118019,0.0024493408987254,0.1646282497759482,0.0552846793029739,0.1645826633870722,0.072931805791956,0.017647126488982104,4.558638887600108e-05
DMRT1,0.1564976726139975,0.0559832794683493,0.1562796394549956,0.0404703732840109,0.1804643202832614,0.0814377436560135,0.1562990594853372,0.0207133283767113,0.1562126524493446,0.0310384853440809,0.0103251569673696,8.640703599260835e-05
DNAJC1,0.1351059996312775,0.0331869457049035,0.1251781132123616,-0.0027828450428813,0.1119212232287817,0.0659595472413728,0.1230463699153574,-0.0008938659339525,0.1230434517732601,-0.0021375056081492,-0.0012436396741967,2.918142097296794e-06
EBF2,0.1359667771318876,0.041048147367787,0.1344535747862842,0.0997838413424574,0.1527956318110457,0.0617976046054454,0.1344510248510502,0.1150692588177469,0.1348924334530506,0.0925002467007794,-0.022569012116967505,-0.0004414086020003982
