perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
SMAD5,0.18353311375679235,0.10641416309760113,0.1937288286745004,"(128, 64, 32)",0.01,0.0001
SMAD6,0.16048631436554686,0.09469146176607722,0.16894995897516188,"(128, 64, 32)",0.01,0.0001
SMARCA1,0.17034577303628476,0.02658560704373335,0.18345549343190876,"(128, 64, 32)",0.01,0.0001
SMARCA2,0.10965837070192638,0.02500105501984234,0.1310084261404593,"(32,)",0.001,0.001
SNAI1,0.17829789153018907,0.09010066843582154,0.1744270030391272,"(128, 64, 32)",0.01,0.0001
SOX8,0.19605635243370412,0.04301236387682329,0.1873492810549686,"(128, 64, 32)",0.01,0.0001
SOX9,0.1738464827559767,0.07609402092542081,0.18967180806473855,"(128, 64, 32)",0.01,0.0001
SOX11,0.29109846788215177,0.08366312614648287,0.29520587064174153,"(128, 64, 32)",0.01,0.0001
SOX12,0.13674196409176853,-0.0009667024602469051,0.13286209981549119,"(32,)",0.001,0.001
SOX13,0.20030459511518336,0.040795570891307656,0.20400813479060037,"(128, 64, 32)",0.01,0.0001
SOX15,0.17681917987478274,-0.036445411131531665,0.17848112301289087,"(128, 64, 32)",0.01,0.0001
SOX17,0.16711317276476886,0.04461778879792355,0.16310185973384855,"(128, 64, 32)",0.01,0.0001
SOX18,0.23460713172965406,0.11795839727929765,0.2322301475175077,"(128, 64, 32)",0.01,0.0001
SP3,0.1704651964135461,0.012403484365456366,0.17332259013858042,"(128, 64, 32)",0.01,0.0001
SRF,0.15611196066057464,-0.0109212336727337,0.16119780332395278,"(128, 64, 32)",0.01,0.0001
STAT2,0.2363877571827564,0.13492227628505055,0.24706164529256522,"(128, 64, 32)",0.01,0.0001
SUZ12,0.09834415534275506,-0.016597943751408627,0.10348152215723316,"(32,)",0.001,0.001
TBX3,0.1533616309847982,0.035014214486844435,0.15613318174069535,"(128, 64, 32)",0.01,0.0001
TBX5,0.21137431554916714,0.07530241349055164,0.22018105441721417,"(128, 64, 32)",0.01,0.0001
TBX18,0.1435510874380662,0.050250019739551184,0.145196755026052,"(32,)",0.001,0.001
TBX20,0.1682320154301437,0.07933995976795288,0.16530307829100693,"(128, 64, 32)",0.01,0.0001
TBX21,0.22936721207489885,0.048843123575697964,0.2203573236304553,"(128, 64, 32)",0.01,0.0001
TCF7L1,0.13041298643142227,-0.007853451156269217,0.13895672274797308,"(32,)",0.001,0.001
TEAD3,0.13566836506661936,0.021755318061198948,0.13032727841642083,"(32,)",0.001,0.001
TFAP2A,0.19030882206600266,0.020704780674774464,0.17433537478164912,"(32,)",0.001,0.001
TFAP2C,0.18951506417730393,0.037672266966696205,0.18475622184354995,"(128, 64, 32)",0.01,0.0001
TFAP2E,0.2680195556180845,0.04894512829035887,0.27286710402680514,"(128, 64, 32)",0.01,0.0001
TFCP2L1,0.1459256609121595,0.015473264867958617,0.1495458180109201,"(32,)",0.001,0.001
TGIF1,0.18722309767658882,-0.03506839892120367,0.18262071355234819,"(128, 64, 32)",0.01,0.0001
THRA,0.14435447251299482,0.077248778841985,0.14992560702541077,"(32,)",0.001,0.001
TLX1,0.2177954964723082,0.06314799763097013,0.20957100882879875,"(128, 64, 32)",0.01,0.0001
TONSL,0.14209552345671314,-0.0003549752825509609,0.14227293578563174,"(32,)",0.001,0.001
TOX,0.10987859312257978,-0.0006439058628922983,0.11732800382251334,"(128, 64, 32)",0.01,0.0001
TP73,0.2811056648167613,0.028436485648485693,0.2864163063151853,"(128, 64, 32)",0.01,0.0001
TRIM22,0.19515097643063553,-0.06845601605754532,0.14265412693594848,"(32,)",0.001,0.001
TRIM24,0.1597518998310239,0.02716993580697057,0.16038892854359865,"(32,)",0.001,0.001
TRIM28,0.1167715262926283,0.09508624435777067,0.13733315146437092,"(128, 64, 32)",0.01,0.0001
TSC22D1,0.1800104410848832,-0.01917202819974487,0.13251775978210167,"(32,)",0.001,0.001
TSHZ1,0.2111198933576261,0.03414450353233699,0.21024589439565808,"(128, 64, 32)",0.01,0.0001
TWIST2,0.18157882603915987,0.01641997333930618,0.16879149031117321,"(128, 64, 32)",0.01,0.0001
VENTX,0.1903119510646654,0.045017310526503374,0.1877763990470887,"(128, 64, 32)",0.01,0.0001
YAP1,0.10769804699679092,0.0921605974345985,0.10693115217475217,"(32,)",0.001,0.001
YBX1,0.4235079877018056,0.042820722457620954,0.12592761992956322,"(32,)",0.001,0.001
YBX3,0.1610756286274913,0.00794793192403477,0.28005380050300555,"(128, 64, 32)",0.01,0.0001
YWHAZ,0.1478698701095027,0.09351357237320218,0.15556708433390762,"(128, 64, 32)",0.01,0.0001
ZBTB7A,0.1814452539446496,0.047027548701644446,0.1784691868232397,"(128, 64, 32)",0.01,0.0001
ZBTB10,0.1624064950868957,0.061667706286679565,0.1685944765561211,"(32,)",0.001,0.001
ZBTB18,0.20362454501617297,-0.017405113558054762,0.1954298818467188,"(128, 64, 32)",0.001,0.0001
ZBTB37,0.08789741065749841,-0.035554076375494556,0.08951504220555306,"(32,)",0.001,0.001
ZBTB42,0.24248672749440148,0.02136830598560584,0.24384004719160912,"(128, 64, 32)",0.01,0.0001
ZEB2,0.22264555108501938,0.025305162526567424,0.22453955779592594,"(128, 64, 32)",0.01,0.0001
ZFP36L2,0.13414220338559277,0.03101086777727155,0.13703761187645852,"(32,)",0.001,0.001
ZFPM2,0.13756346026088348,0.0724283743483993,0.14288345615431933,"(32,)",0.001,0.001
ZIC2,0.1892043355878431,0.03087509990486454,0.1894032181255378,"(128, 64, 32)",0.01,0.0001
ZNF136,0.1948533804124686,0.0314497710263507,0.19510688075545446,"(128, 64, 32)",0.01,0.0001
ZNF286B,0.19741957635643934,0.06445588382592667,0.19205929893254425,"(128, 64, 32)",0.01,0.0001
ZNF296,0.18485276860977187,0.1283900533562479,0.17764845037826998,"(128, 64, 32)",0.01,0.0001
ZNF618,0.14193149447885062,0.028112045264983253,0.13368740984595126,"(128, 64, 32)",0.01,0.0001
ZNF777,0.1492944729173602,0.011051385643918731,0.1508086524313359,"(128, 64, 32)",0.01,0.0001
ZNF827,0.20426629778942387,0.02479071146014697,0.2111354411430412,"(128, 64, 32)",0.01,0.0001
