TF,k,MSE,RMSE,Pearson,Spearman
SOX11,75,0.07602660076165729,0.2757292163729794,0.07397122338369763,0.06280814850066453
SOX12,100,0.012533013054539775,0.1119509403914937,0.0813688721187384,0.06158317290529194
SOX13,50,0.03381153661847403,0.18387913589767066,0.025261654099838448,0.028075158346885058
SOX15,50,0.024730817109597177,0.1572603481796895,0.05878495093321947,0.037930821772671944
SOX17,100,0.02008454925748385,0.14171996774443554,0.0255473851454552,0.013879341815473975
SOX18,50,0.04669751541833024,0.21609607913687431,0.08577945951838384,0.06445413433078392
SP3,75,0.02200847841206156,0.1483525477100463,0.04145255632125368,0.03200953519008386
SRF,75,0.01893343898732017,0.13759883352456215,-0.007023663522713708,-0.017461680651187635
STAT2,75,0.051964116925701506,0.2279563925967015,0.13149936095877215,0.12244021546216702
SUZ12,100,0.007210111786776824,0.08491237711180169,0.11837357351935321,0.11028100498008646
TBX3,50,0.018078707120496078,0.13445708282011803,0.0603982810669763,0.057197183524965646
TBX5,100,0.040539136109714616,0.20134332894266602,0.1088946396579816,0.08272308242081157
TBX18,100,0.015665204914702174,0.12516071633984113,0.008172817850700512,0.02159788200402725
TBX20,50,0.021283352403316615,0.14588815031837443,0.10341267095899068,0.1023660445232164
TBX21,100,0.041841841710101677,0.2045527846549679,0.07734520656406502,0.0906950135916226
TCF7L1,100,0.013848180519198183,0.11767829247230852,0.010905261942964397,0.008599804657097542
TEAD3,50,0.01272298678224509,0.11279621794300149,0.06699465598830986,0.050488857834714115
TFAP2A,100,0.024691274230563318,0.1571345736321683,0.015206132660476985,0.013390428279317117
TFAP2C,75,0.026862882571957798,0.16389900113166583,0.010108630158727292,0.00785749813494029
TFAP2E,75,0.06377767707471113,0.2525424262865769,0.03641243073052872,0.03260941976904385
TFCP2L1,100,0.016088576155505074,0.12684075116264912,0.039936426249104734,0.049745524910576544
TGIF1,75,0.026211123763485354,0.16189849833610365,0.024228830327018464,0.01461912083460944
THRA,100,0.01694183346752522,0.13016079850525358,0.1579971801485676,0.1274866982322835
TLX1,100,0.03600835277619443,0.18975866983143203,0.11252627979275323,0.08892545546179105
TONSL,100,0.014980111899881863,0.12239326737971278,0.0613299825853222,0.05663925631616936
TOX,100,0.00879848212873731,0.0938002245665612,0.06115701167314101,0.06267399962621353
TP73,100,0.07120778352104526,0.2668478658731324,0.03712969392144151,0.03699160357660732
TRIM22,100,0.017887381174215896,0.13374371452227538,0.016518157444136834,0.022542407510004928
TRIM24,100,0.018916227229562797,0.13753627604949464,0.0497686816883556,0.0445524220008186
TRIM28,100,0.01360536234458522,0.11664202649382091,0.14173462854528687,0.15251929972116116
TSC22D1,100,0.015836734466460445,0.12584408792812019,-0.009431282194068028,-0.0008234227077330694
TSHZ1,100,0.03660932004173716,0.1913356214658869,0.0058560210277657536,0.0021244832962371415
TWIST2,50,0.022228595110900317,0.14909257228614817,0.04409639260760586,0.045427825114493794
