TF,k,MSE,RMSE,Pearson,Spearman
SATB2,75,0.010926363355129181,0.10452924641041464,0.036869527627754486,0.031034196539136714
SIX4,100,0.024988158726017236,0.158076433177173,0.0341551567026541,0.030079968640691235
SMAD1,75,0.026200872761557997,0.16186683650939127,0.074165422250397,0.0779548167676503
SMAD5,100,0.029179991472616525,0.17082151934875336,0.03786871439184576,0.010328340746747164
SMAD6,100,0.022013067868872943,0.14836801497921626,0.07010379600505878,0.03353742386273128
SMARCA1,100,0.02616327502215089,0.16175065694503651,0.06940891712689437,0.07401589967239211
SMARCA2,100,0.011753319144269202,0.10841272593320952,0.014598498572613038,0.011407261442263688
SNAI1,100,0.024520880752145965,0.15659144533513306,0.03195008358238407,0.03258816083036499
SOX8,100,0.028060086107013084,0.16751145067431386,0.030208085409580913,0.02200967386116211
SOX9,50,0.028152535188061944,0.16778717229890355,0.023068812595506458,0.012572269052983595
SOX11,100,0.0766146866375062,0.2767935812794549,0.022189650930935653,0.021127349542310252
SOX12,100,0.012744053535978041,0.1128895634502058,-0.008861406138227926,-0.0060423899879349634
SOX13,100,0.033661201872813,0.18346989364147187,0.021216491360543294,0.02307368164498142
SOX15,100,0.024340411964840058,0.15601414027209218,0.1008173253170394,0.09801075503135892
SOX17,100,0.020145823993641655,0.14193598554856218,-0.017782899651187598,-0.006772985636329743
SOX18,50,0.04762419746217943,0.2182296896899673,0.0101998611782259,0.00793251241051392
SP3,75,0.021977471675353893,0.14824800732338325,0.029724681137368036,0.026097338912653145
SRF,100,0.01884239206423814,0.1372675929133972,0.003426249789041415,-0.013144016196090383
STAT2,100,0.05194828385978473,0.22792166167300712,0.10082215551845439,0.09308177973316988
SUZ12,100,0.007278172996810828,0.0853122089551714,0.07490346061391123,0.07599271565241986
TBX3,100,0.017964752392815163,0.13403265420342597,0.0770372883485285,0.06944885064926895
TBX5,100,0.041047644019472744,0.2026021816750075,0.08747869095794936,0.09789570112166449
TBX18,100,0.015646495029989372,0.12508595056995558,0.011924949237992156,0.03132622829170153
TBX20,100,0.021628052061761365,0.1470647886537133,0.021574096002598575,0.033031909205526386
TBX21,50,0.04283718020716276,0.2069714478066063,0.014482649635349764,0.040725333950669296
TCF7L1,100,0.013805218441541662,0.11749561030754153,0.018360006862019766,0.010782371183561358
TEAD3,100,0.012688606057484508,0.11264371290704381,0.0803808187978354,0.06511356956539285
TFAP2A,75,0.02479693875909367,0.15747043773068542,0.03267471399743045,0.045019912273413384
TFAP2C,75,0.026860929161995856,0.16389304183520378,0.018536666668543395,0.021246087312934016
TFAP2E,100,0.06373891117912217,0.25246566336656984,0.010851625638229124,0.00945152440251109
TFCP2L1,100,0.016207646891480004,0.12730925689626815,-0.0009319917272653362,0.0028675647957225703
TGIF1,75,0.026399105181824735,0.16247801445680193,0.00939716771536907,0.011471245841283645
THRA,75,0.017055771287354738,0.13059774610365502,0.12519582184288658,0.12831332698203318
TLX1,50,0.03695350939196017,0.1922329560506215,0.014270323079068743,0.02273392900494859
TONSL,50,0.015277383740954354,0.12360171415055032,0.015551025271042407,0.010189908362595732
TOX,100,0.008907361091958072,0.09437881696629849,0.007998424059962381,0.013979859471818906
TP73,100,0.07164704731842225,0.2676696608105264,0.036369351869166934,0.03810915300966152
TRIM22,75,0.01793938158077296,0.1339379766189297,0.020834041686321213,0.026824018567529206
TRIM24,100,0.019036254795689142,0.13797193481171866,0.027864683447143247,0.026884656697760922
TRIM28,100,0.013852294116125605,0.11769576932127002,0.09327412276626224,0.10793970442872361
TSC22D1,100,0.015757407390664953,0.12552851226181624,0.026996657120778245,0.029449554934634747
TSHZ1,100,0.03644012106072451,0.19089295707470327,0.042124938849921655,0.043964896718511295
TWIST2,100,0.02215907259002485,0.1488592375031689,0.01096864314572204,0.020592918430543953
VENTX,100,0.027048479005393783,0.16446421800924899,0.04078911072341237,0.04177177268617227
YAP1,75,0.008151434284449378,0.09028529384373392,0.15424456725627314,0.14651708922181192
YBX1,100,0.04471445113355462,0.21145791811505812,0.015805013319040766,-0.011111217980480231
YBX3,100,0.10074169777253084,0.3173983266693932,0.014543789777429723,-0.00732114294701741
YWHAZ,100,0.017839210709581766,0.13356350815092335,0.14411467970957315,0.1345149263773237
ZBTB7A,75,0.025001475212434343,0.158118547970927,0.03359253225849544,0.043581509224527186
ZBTB10,100,0.02135915110135977,0.14614770303141877,0.013158101548921993,0.010546510977816326
ZBTB18,100,0.030272285504143404,0.1739893258339241,0.044793718095554415,0.04454000916442466
ZBTB37,100,0.005458071337245321,0.07387876107004855,0.023295259298224725,0.01932536948355502
ZBTB42,100,0.04911813323478813,0.22162611135601357,-0.0008490301227416938,0.0034163327398986122
ZEB2,75,0.041973061815257826,0.20487328233632082,0.042676554501019606,0.03744566473296701
ZFP36L2,100,0.013596521222967922,0.11660412180951375,0.05701233150969526,0.05612915584589038
ZFPM2,50,0.015328318626676685,0.12380758711273185,0.05140751562302533,0.051275895891845856
ZIC2,50,0.028148084063198364,0.16777390757563693,0.030771838553958864,0.031248612167015254
ZNF136,50,0.030338806934376517,0.17418038619309728,0.027563333873432266,0.024305780110890914
ZNF286B,100,0.029679116224878222,0.17227627876430993,0.06021457209288502,0.059626197692111985
ZNF296,100,0.025629303014066723,0.16009154572951914,0.14049523976984196,0.1550261728538258
ZNF618,75,0.013447210855998723,0.11596210957031923,0.08201360178848574,0.08270843178241817
ZNF777,50,0.01684119366890619,0.12977362470435275,0.028444774819411794,0.00953918788834367
ZNF827,50,0.03513054781284018,0.18743144830267994,0.018062611156691673,0.0317824590390924
